CAG,_chr,"[[  1.00000000e+00  -2.33146835e-15   2.21656051e+00   6.41666667e+00
   -1.39473684e+00]]"
,,
LB,_clr,"[[ -2.25773196e+00   7.10542736e-15  -5.02173913e+00  -1.00000000e+00
    1.39130435e+00]]"
,,
LB,_chr,"[[ -8.21565038e-15   4.74000000e+00   1.00000000e+00   2.21676301e+00
   -1.36666667e+00]]"
,,
BRKB,_clr,"[[  5.77315973e-15  -2.00000000e+00  -1.00000000e+00  -3.24000000e+00
    1.11764706e+00]]"
,,
BRKB,_chr,"[[  1.00000000e+00   4.21884749e-15   3.34482759e+00   2.00000000e+00
   -1.04081633e+00]]"
,,
LM,_clr,"[[ -1.00000000e+00  -5.01265823e+00   1.31958763e+00   1.11022302e-15
   -2.30232558e+00]]"
,,
LM,_chr,"[[  2.29344729e+00  -1.43956044e+00   4.78571429e+00   1.00000000e+00
   -2.44249065e-15]]"
,,
LH,_clr,[[-1.          0.07836457 -3.45       -2.         -8.6       ]]
,,
LH,_chr,"[[  6.99440506e-15   1.00000000e+00   2.22321429e+00   4.80952381e+00
   -1.39024390e+00]]"
,,
PGR,_clr,"[[  4.32986980e-15  -1.00000000e+00  -2.19496855e+00  -4.81818182e+00
    1.09756098e+00]]"
,,
PGR,_chr,"[[  1.00000000e+00   4.21884749e-15   3.45945946e+00   2.00000000e+00
   -1.10204082e+00]]"
,,
HIG,_clr,"[[ -1.30084746e+00  -8.14285714e+00  -5.44009282e-15  -3.43200000e+00
    1.36734694e+00]]"
,,
HIG,_chr,"[[  9.99200722e-15   2.28260870e+00   1.00000000e+00  -1.42105263e+00
    5.05714286e+00]]"
,,
CELG,_clr,[[ -4.87179487   0.27586207  -1.         -17.5         -2.31197772]]
,,
CELG,_chr,[[-0.17379679  2.          3.27894737  1.          6.03125   ]]
,,
WLTW,_clr,[[ 0.10714286 -2.23404255 -1.         -4.33333333 -9.        ]]
,,
WLTW,_chr,[[-0.13924051  1.          3.28571429  2.         -5.        ]]
,,
A,_clr,[[ -2.30337079  -1.         -28.           0.24165029  -5.11538462]]
,,
A,_chr,[[  1.           6.57142857  -0.21455939 -25.           2.43019943]]
,,
ABC,_clr,"[[ -1.00000000e+00   8.88178420e-15  -6.41666667e+00  -2.25683060e+00
    1.17391304e+00]]"
,,
ABC,_chr,[[ 1.         -0.06952965  2.          7.44444444  3.325     ]]
,,
ZION,_clr,"[[ -2.29878049e+00   1.39534884e+00   5.77315973e-15  -4.91397849e+00
   -1.00000000e+00]]"
,,
