alpha,cash,dix,gamma,i_value,index,p_value,simrun,time
0.1,1053899902.0,13770,0.9,1078753065,SP500_50,39132370.0,3,1471417200
0.1,43209279.0,13771,0.9,1070228001,SP500_50,1049662451.0,3,1471503600
0.1,487499356.0,13772,0.9,1061110056,SP500_50,599429278.0,3,1471590000
0.1,4739006.0,13773,0.9,1060831049,SP500_50,1084967523.0,3,1471849200
0.1,486051075.0,13774,0.9,1061344080,SP500_50,608096213.0,3,1471935600
0.1,3039668.0,13775,0.9,1061027447,SP500_50,1095777987.0,3,1472022000
0.1,485610452.0,13776,0.9,1065333170,SP500_50,610242879.0,3,1472108400
0.1,3291128.0,13777,0.9,1053900926,SP500_50,1087520387.0,3,1472194800
0.1,41705871.0,13778,0.9,1062064626,SP500_50,1057048558.0,3,1472454000
0.1,287252.0,13779,0.9,1058690373,SP500_50,1101400934.0,3,1472540400
0.1,5205201.0,13780,0.9,1058410541,SP500_50,1091979038.0,3,1472626800
0.1,490118511.0,13781,0.9,1061234303,SP500_50,611012722.0,3,1472713200
0.1,14.0,13782,0.9,1064453427,SP500_50,1104330078.0,3,1472799600
0.1,21811305.0,13783,0.9,1074068858,SP500_50,1088681937.0,3,1473145200
0.1,530502689.0,13784,0.9,1076674486,SP500_50,579101215.0,3,1473231600
0.1,14.0,13785,0.9,1074685843,SP500_50,1113141002.0,3,1473318000
0.1,24500741.0,13786,0.9,1037947853,SP500_50,1052943627.0,3,1473404400
0.1,4687966.0,13787,0.9,1058714151,SP500_50,1094649969.0,3,1473663600
0.1,561546934.0,13788,0.9,1037827912,SP500_50,509992928.0,3,1473750000
0.1,483715926.0,13789,0.9,1036648300,SP500_50,588220432.0,3,1473836400
0.1,13020827.0,13790,0.9,1047885857,SP500_50,1067278490.0,3,1473922800
0.1,49.0,13791,0.9,1043393752,SP500_50,1068244755.0,3,1474009200
0.1,11698231.0,13792,0.9,1036416472,SP500_50,1067034400.0,3,1474268400
0.1,256431843.0,13793,0.9,1034340407,SP500_50,823319873.0,3,1474354800
0.1,53.0,13794,0.9,1047541076,SP500_50,1089183303.0,3,1474441200
0.1,596377246.0,13795,0.9,1059278731,SP500_50,504064486.0,3,1474527600
0.1,519728486.0,13796,0.9,1063135729,SP500_50,582967129.0,3,1474614000
0.1,519728486.0,13797,0.9,1057373355,SP500_50,578710926.0,3,1474873200
0.1,515627583.0,13798,0.9,1064400199,SP500_50,586681271.0,3,1474959600
0.1,1095445253.0,13799,0.9,1047325347,SP500_50,0.0,3,1475046000
0.1,6635922.0,13800,0.9,1045066126,SP500_50,1090007321.0,3,1475132400
0.1,1416216.0,13801,0.9,1041939727,SP500_50,1090224437.0,3,1475218800
0.1,12596.0,13802,0.9,1042900588,SP500_50,1095592996.0,3,1475478000
0.1,8213.0,13803,0.9,1025624814,SP500_50,1075031261.0,3,1475564400
0.1,4689489.0,13804,0.9,1013712963,SP500_50,1063834852.0,3,1475650800
0.1,505790158.0,13805,0.9,1012862371,SP500_50,562060017.0,3,1475737200
0.1,54297894.0,13806,0.9,1008846660,SP500_50,1029484040.0,3,1475823600
0.1,3835007.0,13807,0.9,1012985499,SP500_50,1085912539.0,3,1476082800
0.1,9.0,13808,0.9,1010835964,SP500_50,1091263643.0,3,1476169200
0.1,32659950.0,13809,0.9,1016558201,SP500_50,1065599593.0,3,1476255600
0.1,145744.0,13810,0.9,1016556137,SP500_50,1099037718.0,3,1476342000
0.1,32506333.0,13811,0.9,1015230530,SP500_50,1063670019.0,3,1476428400
0.1,5770691.0,13812,0.9,1017005555,SP500_50,1089795054.0,3,1476687600
0.1,5961.0,13813,0.9,1018912390,SP500_50,1094017355.0,3,1476774000
0.1,26.0,13814,0.9,1020973657,SP500_50,1097090467.0,3,1476860400
0.1,40247306.0,13815,0.9,1000704871,SP500_50,1036783510.0,3,1476946800
0.1,1248669.0,13816,0.9,977829522,SP500_50,1027827283.0,3,1477033200
0.1,19.0,13817,0.9,970273881,SP500_50,1033041210.0,3,1477292400
0.1,986197146.0,13818,0.9,964880703,SP500_50,37345945.0,3,1477378800
0.1,1030079178.0,13819,0.9,959322982,SP500_50,0.0,3,1477465200
0.1,1030079178.0,13820,0.9,975716492,SP500_50,0.0,3,1477551600
0.1,909209.0,13821,0.9,973249239,SP500_50,1028272196.0,3,1477638000
0.1,406067833.0,13822,0.9,972967279,SP500_50,626996083.0,3,1477897200
0.1,410289057.0,13823,0.9,962600151,SP500_50,618947686.0,3,1477983600
0.1,474077606.0,13824,0.9,950411589,SP500_50,549233553.0,3,1478070000
0.1,15800102.0,13714,0.9,1018836908,SP500_50,990318883.0,4,1464332400
0.1,500473249.0,13715,0.9,1023944612,SP500_50,508670717.0,4,1464678000
0.1,20090976.0,13716,0.9,1013549341,SP500_50,983933645.0,4,1464764400
0.1,31122283.0,13717,0.9,1018635505,SP500_50,982477879.0,4,1464850800
0.1,15.0,13718,0.9,1024579677,SP500_50,1015270769.0,4,1464937200
