alpha,cash,dix,gamma,i_value,index,p_value,simrun,time
0.5,7611399.0,13800,0.8,1040707587,SP500_50,1250237789.0,2,1475132400
0.5,1624354.0,13801,0.8,1037594227,SP500_50,1250486866.0,2,1475218800
0.5,1624354.0,13802,0.8,1038551081,SP500_50,1255016804.0,2,1475478000
0.5,9588.0,13803,0.8,1021347357,SP500_50,1233084353.0,2,1475564400
0.5,37.0,13804,0.8,1009485185,SP500_50,1227846494.0,2,1475650800
0.5,285040094.0,13805,0.8,1008638141,SP500_50,940560494.0,2,1475737200
0.5,26447143.0,13806,0.8,1004639177,SP500_50,1222506153.0,2,1475823600
0.5,210861.0,13807,0.8,1008760755,SP500_50,1253727852.0,2,1476082800
0.5,39.0,13808,0.8,1006620185,SP500_50,1248887009.0,2,1476169200
0.5,300009883.0,13809,0.8,1012318557,SP500_50,956583962.0,2,1476255600
0.5,251059.0,13810,0.8,1012316502,SP500_50,1256849494.0,2,1476342000
0.5,298426022.0,13811,0.8,1010996423,SP500_50,955594198.0,2,1476428400
0.5,6606625.0,13812,0.8,1012764045,SP500_50,1247663491.0,2,1476687600
0.5,6836.0,13813,0.8,1014662928,SP500_50,1252497414.0,2,1476774000
0.5,36140891.0,13814,0.8,1016715598,SP500_50,1206543975.0,2,1476860400
0.5,401375.0,13815,0.8,996531345,SP500_50,1221693414.0,2,1476946800
0.5,9513615.0,13816,0.8,973751400,SP500_50,1159718274.0,2,1477033200
0.5,31146121.0,13817,0.8,966227270,SP500_50,1131597272.0,2,1477292400
0.5,124978248.0,13818,0.8,960856585,SP500_50,1032959584.0,2,1477378800
0.5,189472084.0,13819,0.8,955322042,SP500_50,973899681.0,2,1477465200
0.5,209225767.0,13820,0.8,971647181,SP500_50,956777838.0,2,1477551600
0.5,398598.0,13821,0.8,969190218,SP500_50,1165611492.0,2,1477638000
0.5,135602220.0,13822,0.8,968909435,SP500_50,1037591888.0,2,1477897200
0.5,155013572.0,13823,0.8,958585543,SP500_50,1010910110.0,2,1477983600
0.5,205670727.0,13824,0.8,946447815,SP500_50,952848028.0,2,1478070000
0.5,86293.0,13714,0.8,1014587760,SP500_50,1006525400.0,3,1464332400
0.5,946225347.0,13715,0.8,1019674162,SP500_50,60909442.0,3,1464678000
0.5,51.0,13716,0.8,1009322245,SP500_50,1006291907.0,3,1464764400
0.5,29717610.0,13717,0.8,1014387197,SP500_50,988302528.0,3,1464850800
0.5,25502085.0,13718,0.8,1020306579,SP500_50,993715149.0,3,1464937200
0.5,3306249.0,13719,0.8,1019911769,SP500_50,1028624236.0,3,1465196400
0.5,18.0,13720,0.8,1035139656,SP500_50,1037456233.0,3,1465282800
0.5,18.0,13721,0.8,1033782078,SP500_50,1039281363.0,3,1465369200
0.5,18.0,13722,0.8,1040049762,SP500_50,1045278220.0,3,1465455600
0.5,7.0,13723,0.8,1048685078,SP500_50,1055706211.0,3,1465542000
0.5,4424236.0,13724,0.8,1044974675,SP500_50,1050685604.0,3,1465801200
0.5,515617444.0,13725,0.8,1050556781,SP500_50,540844103.0,3,1465887600
0.5,2920667.0,13726,0.8,1048749949,SP500_50,1064431745.0,3,1465974000
0.5,2920667.0,13727,0.8,1057168224,SP500_50,1067496528.0,3,1466060400
0.5,4.0,13728,0.8,1063388982,SP500_50,1077754143.0,3,1466146800
0.5,0.0,13729,0.8,1064369573,SP500_50,1080444294.0,3,1466406000
0.5,12277658.0,13730,0.8,1071836752,SP500_50,1078514651.0,3,1466492400
0.5,420332710.0,13731,0.8,1073712152,SP500_50,673974189.0,3,1466578800
0.5,411102220.0,13732,0.8,1087931208,SP500_50,694575587.0,3,1466665200
0.5,21.0,13733,0.8,1077625515,SP500_50,1098047858.0,3,1466751600
0.5,42814816.0,13734,0.8,1083662305,SP500_50,1062442130.0,3,1467010800
